sim_id,strategy,pnl,exit_day,max_risk,scenario,pnl_details
0,LONG_CALL,-752.9760123671409,1,1681.3992171999744,"{'symbol': np.str_('TSLA'), 'regime': np.str_('bull_market'), 'base_price': 241.84633784526568, 'price_change_pct': 3.5993967883073235, 'volatility': 0.6990340887535432, 'rsi': 90, 'volume_multiplier': 1.9466286040036138, 'current_price': 250.55134716230705, 'vix_level': 12.692750333955244, 'market_sentiment': np.float64(-0.17511587677962118), 'sector_rotation': np.str_('momentum'), 'fed_policy': np.str_('dovish'), 'earnings_season': False, 'geopolitical_risk': 0.27262610573249185, 'liquidity_conditions': 0.9462926632518445, 'correlation_regime': np.str_('low'), 'volatility_regime': 'normal', 'economic_phase': np.str_('peak'), 'inflation_rate': 5.198645258791802, 'interest_rates': 2.645227771335011, 'unemployment_rate': 3.9432141291660816, 'gdp_growth': 1.9481206102108888, 'beta': 2.1, 'sector': 'auto'}","{'gross_pnl': -750.9760123671409, 'net_pnl': -752.9760123671409, 'delta_pnl': -1334.4721702004836, 'gamma_pnl': 1560.8272316695795, 'theta_pnl': -8.810117693847404, 'vega_pnl': -748.0733553175487, 'entry_value': 16.793992171999744, 'exit_value': 9.284232048328334, 'entry_intrinsic': 0, 'exit_intrinsic': 0, 'max_risk': 1681.3992171999744}"
1,BULL_CALL_SPREAD,480.0567508108197,9,504.0,"{'symbol': np.str_('QQQ'), 'regime': np.str_('bull_market'), 'base_price': 300.1291851589944, 'price_change_pct': 1.1477684328593551, 'volatility': 0.42304358447653, 'rsi': 90, 'volume_multiplier': 2.3836762444227944, 'current_price': 303.5739732040473, 'vix_level': 15.534676057223177, 'market_sentiment': np.float64(0.053605509477280176), 'sector_rotation': np.str_('momentum'), 'fed_policy': np.str_('neutral'), 'earnings_season': True, 'geopolitical_risk': 0.1809463791804207, 'liquidity_conditions': 0.3194190079784607, 'correlation_regime': np.str_('low'), 'volatility_regime': 'low', 'economic_phase': np.str_('contraction'), 'inflation_rate': 3.1094834724266525, 'interest_rates': 3.962129181724385, 'unemployment_rate': 5.094716362432035, 'gdp_growth': -2.7462274760494547, 'beta': 1.2, 'sector': 'tech'}","{'net_pnl': 480.0567508108197, 'gross_pnl': 480.0567508108197, 'long_leg_pnl': 6606.528324735118, 'short_leg_pnl': -6126.471573924298, 'max_risk': 504.0}"
4,BULL_CALL_SPREAD,-3.3612578157654838,9,504.0,"{'symbol': np.str_('GOOGL'), 'regime': np.str_('bull_market'), 'base_price': 117.21528664578699, 'price_change_pct': 0.962179497463897, 'volatility': 0.4134178978104545, 'rsi': 90, 'volume_multiplier': 2.6841548574674587, 'current_price': 118.34310810178629, 'vix_level': 10, 'market_sentiment': np.float64(-0.040089870440794796), 'sector_rotation': np.str_('cyclical'), 'fed_policy': np.str_('neutral'), 'earnings_season': True, 'geopolitical_risk': 0.45584865949868814, 'liquidity_conditions': 0.5264761312734954, 'correlation_regime': np.str_('low'), 'volatility_regime': 'low', 'economic_phase': np.str_('contraction'), 'inflation_rate': 3.1021340110085056, 'interest_rates': 3.7112567779587344, 'unemployment_rate': 7.545895956313957, 'gdp_growth': 0.5858776778922907, 'beta': 1.3, 'sector': 'tech'}","{'net_pnl': -3.3612578157654838, 'gross_pnl': -3.3612578157654838, 'long_leg_pnl': -96.55046532575682, 'short_leg_pnl': 93.18920750999133, 'max_risk': 504.0}"
5,BEAR_PUT_SPREAD,323.63107932941483,0,1004.0,"{'symbol': np.str_('TSLA'), 'regime': np.str_('sideways'), 'base_price': 217.83573590146395, 'price_change_pct': -2.298851901554326, 'volatility': 0.20848960613949544, 'rsi': 10, 'volume_multiplier': 1.491583772944645, 'current_price': 212.8280149444283, 'vix_level': 10, 'market_sentiment': np.float64(0.2638896996063523), 'sector_rotation': np.str_('growth'), 'fed_policy': np.str_('hawkish'), 'earnings_season': False, 'geopolitical_risk': 0.16374117777234498, 'liquidity_conditions': 0.8547188672838235, 'correlation_regime': np.str_('low'), 'volatility_regime': 'low', 'economic_phase': np.str_('contraction'), 'inflation_rate': 0.7518241970084106, 'interest_rates': 3.160337818418364, 'unemployment_rate': 4.276574603530584, 'gdp_growth': -1.6435917741516008, 'beta': 2.1, 'sector': 'auto'}","{'net_pnl': 323.63107932941483, 'gross_pnl': 323.63107932941483, 'long_leg_pnl': 315.883049474134, 'short_leg_pnl': 7.748029855280823, 'max_risk': 1004.0}"
6,BEAR_PUT_SPREAD,0.2970422247450699,4,1004.0,"{'symbol': np.str_('QQQ'), 'regime': np.str_('bull_market'), 'base_price': 290.36071552698485, 'price_change_pct': 0.09139200188280232, 'volatility': 0.13118321807024932, 'rsi': np.float64(64.74014569437924), 'volume_multiplier': 1.79779299838343, 'current_price': 290.62608199758614, 'vix_level': 11.59325999000569, 'market_sentiment': np.float64(0.30713403069357187), 'sector_rotation': np.str_('growth'), 'fed_policy': np.str_('hawkish'), 'earnings_season': False, 'geopolitical_risk': 0.08973831181028312, 'liquidity_conditions': 0.717683376921606, 'correlation_regime': np.str_('high'), 'volatility_regime': 'low', 'economic_phase': np.str_('contraction'), 'inflation_rate': 3.600123856088429, 'interest_rates': 1.4304240117917395, 'unemployment_rate': 4.06740697086374, 'gdp_growth': -5.4955120489252876, 'beta': 1.2, 'sector': 'tech'}","{'net_pnl': 0.2970422247450699, 'gross_pnl': 0.2970422247450699, 'long_leg_pnl': -35.79197817365913, 'short_leg_pnl': 36.0890203984042, 'max_risk': 1004.0}"
7,LONG_PUT,-3503.2507369911405,2,13008.74956804241,"{'symbol': np.str_('NVDA'), 'regime': np.str_('volatile_bear'), 'base_price': 375.0912246774957, 'price_change_pct': 11.897098645499288, 'volatility': 3.2307214257100583, 'rsi': 90, 'volume_multiplier': 2.7910551265030423, 'current_price': 419.7161976879887, 'vix_level': 11.894658053108676, 'market_sentiment': np.float64(0.029328100538269414), 'sector_rotation': np.str_('growth'), 'fed_policy': np.str_('hawkish'), 'earnings_season': False, 'geopolitical_risk': 0.03479412992434429, 'liquidity_conditions': 0.8135038112983067, 'correlation_regime': np.str_('high'), 'volatility_regime': 'normal', 'economic_phase': np.str_('contraction'), 'inflation_rate': 2.923117742036335, 'interest_rates': 0.19863469012883073, 'unemployment_rate': 6.480069798611094, 'gdp_growth': -1.4121641858606369, 'beta': 1.8, 'sector': 'tech'}","{'gross_pnl': -3501.2507369911405, 'net_pnl': -3503.2507369911405, 'delta_pnl': 4588.559705832944, 'gamma_pnl': 15379.893262035557, 'theta_pnl': -25.78224717970812, 'vega_pnl': -9981.30314317566, 'entry_value': 130.06749568042412, 'exit_value': 95.05498831051271, 'max_risk': 13008.74956804241}"
10,BULL_CALL_SPREAD,-0.7841194716501718,14,504.0,"{'symbol': np.str_('AAPL'), 'regime': np.str_('bull_market'), 'base_price': 217.76495596566556, 'price_change_pct': 1.1596986793383495, 'volatility': 0.37986463750349997, 'rsi': 90, 'volume_multiplier': 0.5084249545614723, 'current_price': 220.2903732840611, 'vix_level': 24.86195557243372, 'market_sentiment': np.float64(-0.08951935026895755), 'sector_rotation': np.str_('growth'), 'fed_policy': np.str_('neutral'), 'earnings_season': False, 'geopolitical_risk': 0.0633922965451119, 'liquidity_conditions': 0.6135374538224582, 'correlation_regime': np.str_('medium'), 'volatility_regime': 'low', 'economic_phase': np.str_('contraction'), 'inflation_rate': 1.4814716193347606, 'interest_rates': 3.8950648839376, 'unemployment_rate': 8.22492034855863, 'gdp_growth': 1.1185959317731373, 'beta': 1.2, 'sector': 'tech'}","{'net_pnl': -0.7841194716501718, 'gross_pnl': -0.7841194716501718, 'long_leg_pnl': -373.21162151568933, 'short_leg_pnl': 372.42750204403916, 'max_risk': 504.0}"
12,BULL_CALL_SPREAD,496.6261953832086,2,504.0,"{'symbol': np.str_('QQQ'), 'regime': np.str_('volatile_bull'), 'base_price': 495.2549524430229, 'price_change_pct': 1.5244244106994467, 'volatility': 0.232887552676068, 'rsi': 90, 'volume_multiplier': 1.6900057248045575, 'current_price': 502.80473983326226, 'vix_level': 16.206540400104235, 'market_sentiment': np.float64(-0.4833056586855326), 'sector_rotation': np.str_('defensive'), 'fed_policy': np.str_('hawkish'), 'earnings_season': False, 'geopolitical_risk': 0.13911882620638183, 'liquidity_conditions': 0.838808151845809, 'correlation_regime': np.str_('low'), 'volatility_regime': 'low', 'economic_phase': np.str_('contraction'), 'inflation_rate': 1.1835539004850837, 'interest_rates': 3.471090208231164, 'unemployment_rate': 6.374745849579897, 'gdp_growth': 3.507623574426068, 'beta': 1.2, 'sector': 'tech'}","{'net_pnl': 496.6261953832086, 'gross_pnl': 496.6261953832086, 'long_leg_pnl': 3058.341335227982, 'short_leg_pnl': -2561.7151398447736, 'max_risk': 504.0}"
14,BULL_CALL_SPREAD,0.6329018158527049,7,504.0,"{'symbol': np.str_('IWM'), 'regime': np.str_('bull_market'), 'base_price': 164.7045202551697, 'price_change_pct': -1.1641069749099018, 'volatility': 0.22696374808452152, 'rsi': 10, 'volume_multiplier': 1.8569843110002406, 'current_price': 162.78718344688738, 'vix_level': 13.107929264589862, 'market_sentiment': np.float64(-0.008286765834345584), 'sector_rotation': np.str_('momentum'), 'fed_policy': np.str_('neutral'), 'earnings_season': False, 'geopolitical_risk': 0.7637566564521898, 'liquidity_conditions': 0.632427269945431, 'correlation_regime': np.str_('low'), 'volatility_regime': 'low', 'economic_phase': np.str_('expansion'), 'inflation_rate': 0.5015043834647133, 'interest_rates': 3.6248577534308373, 'unemployment_rate': 3.7808153353431386, 'gdp_growth': 4.234252691034752, 'beta': 1.3, 'sector': 'small'}","{'net_pnl': 0.6329018158527049, 'gross_pnl': 0.6329018158527049, 'long_leg_pnl': -82.86915036329452, 'short_leg_pnl': 83.50205217914723, 'max_risk': 504.0}"
15,LONG_PUT,-79.22898555058563,13,208.8764752590683,"{'symbol': np.str_('XLF'), 'regime': np.str_('bear_market'), 'base_price': 28.177834590596632, 'price_change_pct': 1.7644020078942644, 'volatility': 0.7770538001672161, 'rsi': 90, 'volume_multiplier': 1.6949742580452047, 'current_price': 28.675004869894245, 'vix_level': 16.073877318419342, 'market_sentiment': np.float64(-0.031996440937497206), 'sector_rotation': np.str_('value'), 'fed_policy': np.str_('dovish'), 'earnings_season': True, 'geopolitical_risk': 0.7113833792575424, 'liquidity_conditions': 0.6311140283672686, 'correlation_regime': np.str_('medium'), 'volatility_regime': 'low', 'economic_phase': np.str_('expansion'), 'inflation_rate': 1.646716421747433, 'interest_rates': 4.973530000697902, 'unemployment_rate': 4.071304811548335, 'gdp_growth': 2.3946864648112482, 'beta': 1.5, 'sector': 'finance'}","{'gross_pnl': -77.22898555058563, 'net_pnl': -79.22898555058563, 'delta_pnl': -37.40894058767708, 'gamma_pnl': 1.52851818246476, 'theta_pnl': -120.6159401032582, 'vega_pnl': 0.0, 'entry_value': 2.068764752590683, 'exit_value': 1.2964748970848265, 'max_risk': 208.8764752590683}"
