date,open,high,low,close,volume
2023-01-02,150.0000,151.4154,149.7548,151.1683,64117611
2023-01-03,151.1683,152.2814,149.6684,150.7786,86204050
2023-01-04,150.7786,150.9923,148.4122,148.6229,78432708
2023-01-05,148.6229,150.6040,147.9331,149.9082,68468206
2023-01-06,149.9082,150.2208,148.2708,148.5805,81144540
2023-01-07,148.5805,150.1132,147.5745,149.1036,70042866
2023-01-08,149.1036,149.5764,148.4020,148.8741,72539816
2023-01-09,148.8741,150.9164,147.8579,149.8932,85297553
2023-01-10,149.8932,151.8718,149.7255,151.7020,66499505
2023-01-11,151.7020,152.2498,150.3667,150.9117,81234363
2023-01-12,150.9117,152.3379,149.7352,151.1594,85849012
2023-01-13,151.1594,151.4513,150.7799,151.0716,82677492
2023-01-14,151.0716,151.3815,148.0354,148.3397,92214451
2023-01-15,148.3397,149.5767,147.7050,148.9393,86734197
2023-01-16,148.9393,149.7915,145.1354,145.9706,64429266
2023-01-17,145.9706,146.6228,143.2358,143.8787,94346981
2023-01-18,143.8787,143.8967,142.9471,142.9650,82931990
2023-01-19,142.9650,143.8672,141.3066,142.2040,74955038
2023-01-20,142.2040,143.6827,141.4084,142.8833,88681276
2023-01-21,142.8833,142.9377,141.1803,141.2341,82257597
2023-01-22,141.2341,141.2447,141.1567,141.1673,75924763
2023-01-23,141.1673,142.8506,140.6245,142.3034,89069558
2023-01-24,142.3034,142.7636,142.2537,142.7138,87298798
2023-01-25,142.7138,142.7168,142.6921,142.6952,71003645
2023-01-26,142.6952,142.7248,141.3102,141.3395,91858350
2023-01-27,141.3395,142.2234,139.1600,140.0358,77158372
2023-01-28,140.0358,143.9703,139.4298,143.3500,69177678
2023-01-29,143.3500,143.9700,143.0623,143.6817,74736352
2023-01-30,143.6817,145.2491,143.2277,144.7917,64652928
2023-01-31,144.7917,148.7621,144.7342,148.7031,91484895
2023-02-01,148.7031,150.1058,148.5664,149.9679,73764888
2023-02-02,149.9679,150.1649,149.6776,149.8744,83177160
2023-02-03,149.8744,150.8001,149.5179,150.4423,88207459
2023-02-04,150.4423,152.8593,148.4162,150.8280,85410846
2023-02-05,150.8280,151.4004,148.7611,149.3278,71655804
2023-02-06,149.3278,149.8242,149.2774,149.7736,93042620
2023-02-07,149.7736,149.9615,147.8715,148.0573,81408851
2023-02-08,148.0573,148.3170,147.2595,147.5182,75260399
2023-02-09,147.5182,147.9606,146.4221,146.8626,89465155
2023-02-10,146.8626,147.0149,146.6701,146.8224,66971863
2023-02-11,146.8224,148.5056,146.1520,147.8307,68268604
2023-02-12,147.8307,147.9841,146.1010,146.2527,86652247
2023-02-13,146.2527,146.4730,143.1007,143.3165,64476756
2023-02-14,143.3165,145.5882,142.6604,144.9247,76052697
2023-02-15,144.9247,145.8003,144.7065,145.5812,86508955
2023-02-16,145.5812,146.2764,144.1511,144.8428,66654413
2023-02-17,144.8428,146.5769,144.3970,146.1271,67450449
2023-02-18,146.1271,146.2737,145.9694,146.1159,71236865
2023-02-19,146.1159,146.4963,143.5642,143.9389,64443883
2023-02-20,143.9389,144.4924,143.1026,143.6550,71037710
2023-02-21,143.6550,143.6975,143.6408,143.6833,70039767
2023-02-22,143.6833,144.9512,142.2540,143.5204,73549351
2023-02-23,143.5204,144.5412,141.7680,142.7836,86201581
2023-02-24,142.7836,143.0097,141.6096,141.8341,80803773
2023-02-25,141.8341,142.2553,140.7918,141.2112,75931126
2023-02-26,141.2112,143.2102,140.9062,142.9016,76774018
2023-02-27,142.9016,144.2775,142.6845,144.0587,66056603
2023-02-28,144.0587,144.0629,142.4881,142.4922,95085778
2023-03-01,142.4922,144.2199,141.8126,143.5353,89325101
2023-03-02,143.5353,144.3832,142.8268,143.6740,82647088
2023-03-03,143.6740,145.2785,143.2185,144.8194,92919190
2023-03-04,144.8194,148.0783,144.0628,147.3088,64422739
2023-03-05,147.3088,148.2568,145.3879,146.3296,74062331
2023-03-06,146.3296,147.5351,145.3425,146.5466,75137672
2023-03-07,146.5466,147.9082,146.2515,147.6110,91706694
2023-03-08,147.6110,148.2330,146.6527,147.2733,86851370
2023-03-09,147.2733,149.6939,146.6525,149.0656,73018315
2023-03-10,149.0656,151.0880,148.4631,150.4798,88346012
2023-03-11,150.4798,150.7989,149.4810,149.7987,84938266
2023-03-12,149.7987,150.4472,148.8786,149.5259,86234703
2023-03-13,149.5259,151.0417,146.5054,148.0057,64592043
2023-03-14,148.0057,150.4453,147.6899,150.1249,68340347
2023-03-15,150.1249,151.4306,149.5636,150.8665,83671442
2023-03-16,150.8665,151.2163,149.3711,149.7183,91430921
2023-03-17,149.7183,149.8576,147.8607,147.9984,86443535
2023-03-18,147.9984,148.8212,147.6652,148.4869,66607487
2023-03-19,148.4869,148.7171,145.8531,146.0795,92549836
2023-03-20,146.0795,146.1718,145.3376,145.4294,84474887
2023-03-21,145.4294,147.6717,144.5449,146.7790,69627093
2023-03-22,146.7790,148.4802,146.5615,148.2605,71602543
2023-03-23,148.2605,149.2584,146.3782,147.3701,88574145
2023-03-24,147.3701,148.0055,144.1538,144.7780,86672012
2023-03-25,144.7780,146.1232,144.2264,145.5685,73601000
2023-03-26,145.5685,147.0768,145.5052,147.0127,72692324
2023-03-27,147.0127,150.4071,145.6936,149.0695,75632071
2023-03-28,149.0695,149.6400,148.2772,148.8469,65415179
2023-03-29,148.8469,148.9635,148.6266,148.7432,95822152
2023-03-30,148.7432,149.9720,148.1418,149.3681,82756000
2023-03-31,149.3681,150.0718,149.0778,149.7807,85720400
2023-04-01,149.7807,151.4962,149.1425,150.8535,91999262
2023-04-02,150.8535,150.9779,150.8059,150.9303,71383065
2023-04-03,150.9303,152.2573,150.9149,152.2418,74429400
2023-04-04,152.2418,153.8474,151.9519,153.5550,71902717
2023-04-05,153.5550,153.5597,153.2741,153.2789,67510251
2023-04-06,153.2789,156.7208,153.1008,156.5389,88789078
2023-04-07,156.5389,157.4616,155.9639,156.8853,71403412
2023-04-08,156.8853,156.9082,155.2521,155.2746,87149368
2023-04-09,155.2746,155.4108,154.9233,155.0593,82797394
2023-04-10,155.0593,156.7280,154.9170,156.5844,65787474
2023-04-11,156.5844,156.8899,155.8304,156.1350,86425050
2023-04-12,156.1350,156.7976,153.5426,154.1970,66535352
2023-04-13,154.1970,155.1129,153.3873,154.3028,79148115
2023-04-14,154.3028,156.5169,153.6816,155.8894,81727668
2023-04-15,155.8894,159.6788,154.3080,158.0752,88580619
2023-04-16,158.0752,159.0871,156.8686,157.8792,79036168
2023-04-17,157.8792,160.0618,157.6753,159.8553,72466389
2023-04-18,159.8553,161.1985,158.8464,160.1875,71220846
2023-04-19,160.1875,163.7541,159.5471,163.1021,69720699
2023-04-20,163.1021,164.1663,163.0368,164.1006,84173473
2023-04-21,164.1006,165.6361,163.6971,165.2298,89145928
2023-04-22,165.2298,165.2727,164.2348,164.2775,89951695
2023-04-23,164.2775,164.2857,161.8019,161.8101,92871233
2023-04-24,161.8101,162.9440,156.9538,158.0614,87740519
2023-04-25,158.0614,158.9442,156.8568,157.7378,89114324
2023-04-26,157.7378,158.6466,157.4596,158.3673,89989594
2023-04-27,158.3673,160.8033,157.6787,160.1071,91814004
2023-04-28,160.1071,163.7030,159.2616,162.8430,93158860
