date,open,high,low,close,volume
2023-01-02,260.0000,260.0744,259.6457,259.7199,41516617
2023-01-03,259.7199,261.0810,257.8520,259.2104,30555506
2023-01-04,259.2104,260.3593,256.1498,257.2902,41001740
2023-01-05,257.2902,257.8783,256.2669,256.8540,28954521
2023-01-06,256.8540,256.9002,255.2321,255.2780,28392952
2023-01-07,255.2780,257.9655,254.3522,257.0334,37098048
2023-01-08,257.0334,258.3501,254.0401,255.3482,31947450
2023-01-09,255.3482,258.6247,254.2856,257.5529,36489036
2023-01-10,257.5529,257.7101,257.0472,257.2042,29426904
2023-01-11,257.2042,257.9135,256.7050,257.4139,33494099
2023-01-12,257.4139,258.5942,255.4760,256.6527,38171920
2023-01-13,256.6527,259.2054,256.6055,259.1578,31843892
2023-01-14,259.1578,259.8393,257.9728,258.6531,40480244
2023-01-15,258.6531,259.2185,257.4890,258.0532,35801651
2023-01-16,258.0532,261.8827,256.8038,260.6209,28610320
2023-01-17,260.6209,261.4096,257.2087,257.9894,32455528
2023-01-18,257.9894,259.5786,256.0892,257.6764,35767402
2023-01-19,257.6764,261.2643,255.6531,259.2289,33798571
2023-01-20,259.2289,259.7413,257.3597,257.8695,39571328
2023-01-21,257.8695,257.9342,254.6710,254.7348,30983379
2023-01-22,254.7348,259.2100,254.2555,258.7231,31752058
2023-01-23,258.7231,260.3281,258.0333,259.6358,32088734
2023-01-24,259.6358,260.3625,255.0296,255.7455,36186482
2023-01-25,255.7455,256.7122,255.2801,256.2458,41549794
2023-01-26,256.2458,258.8906,255.5555,258.1951,30931964
2023-01-27,258.1951,260.0898,257.4010,259.2923,34163342
2023-01-28,259.2923,260.9653,258.8813,260.5523,35342036
2023-01-29,260.5523,263.0538,258.5511,261.0488,36467034
2023-01-30,261.0488,262.8366,257.8337,259.6117,32447346
2023-01-31,259.6117,259.6322,257.7801,257.8005,38191746
2023-02-01,257.8005,258.8434,257.7187,258.7612,32190335
2023-02-02,258.7612,260.0512,257.7021,258.9911,29207380
2023-02-03,258.9911,261.0094,258.5928,260.6086,36705229
2023-02-04,260.6086,260.9823,259.1168,259.4889,29229790
2023-02-05,259.4889,260.0505,258.9596,259.5211,38005810
2023-02-06,259.5211,260.3141,254.3220,255.1015,28349954
