date,open,high,low,close,volume
2023-01-02,240.0000,240.0938,235.0827,235.1746,79897494
2023-01-03,235.1746,236.6408,234.2178,235.6819,74864795
2023-01-04,235.6819,237.7698,230.8831,232.9468,79762580
2023-01-05,232.9468,236.5907,232.3785,236.0150,61068056
2023-01-06,236.0150,239.4304,229.3579,232.7258,61660324
2023-01-07,232.7258,233.3799,230.5699,231.2197,60190352
2023-01-08,231.2197,232.4299,230.9262,232.1352,78086580
2023-01-09,232.1352,233.5173,229.8112,231.1877,77259058
2023-01-10,231.1877,234.1307,230.6165,233.5537,74321631
2023-01-11,233.5537,236.5950,232.5807,235.6134,66208381
2023-01-12,235.6134,236.1903,230.7096,231.2758,66293892
2023-01-13,231.2758,233.4000,225.5936,227.6847,66339149
2023-01-14,227.6847,230.1512,223.5190,225.9668,81261223
2023-01-15,225.9668,227.6342,224.7844,226.4493,77164336
2023-01-16,226.4493,228.2854,223.9983,225.8294,64755912
2023-01-17,225.8294,230.1421,224.8674,229.1659,61605338
2023-01-18,229.1659,230.0155,228.9906,229.8396,63862761
2023-01-19,229.8396,231.0639,227.0455,228.2613,78401523
2023-01-20,228.2613,232.6433,228.0208,232.3984,69776833
2023-01-21,232.3984,237.7778,231.6474,237.0119,75261229
2023-01-22,237.0119,237.9555,230.5675,231.4891,80249101
2023-01-23,231.4891,233.9731,231.0620,233.5422,56652523
2023-01-24,233.5422,235.3796,232.1737,234.0084,66756507
2023-01-25,234.0084,235.3119,229.6474,230.9338,74045206
2023-01-26,230.9338,233.1208,230.9148,233.1016,79337687
2023-01-27,233.1016,234.5494,233.0922,234.5399,64328805
2023-01-28,234.5399,235.3149,230.5572,231.3215,60223341
2023-01-29,231.3215,236.0712,229.7174,234.4454,66939228
2023-01-30,234.4454,235.1992,233.2482,234.0006,62169654
2023-01-31,234.0006,242.6724,233.4109,242.0624,65222514
2023-02-01,242.0624,242.1387,241.6991,241.7753,81329028
2023-02-02,241.7753,246.4652,239.4443,244.1117,80139156
2023-02-03,244.1117,244.3761,236.0686,236.3246,61837243
2023-02-04,236.3246,236.8479,236.2583,236.7814,57439714
2023-02-05,236.7814,239.6418,235.2080,238.0599,59055161
2023-02-06,238.0599,239.9613,237.8499,239.7498,80582869
2023-02-07,239.7498,253.1514,236.5396,249.8065,80895148
2023-02-08,249.8065,253.3086,248.4856,251.9762,77568274
2023-02-09,251.9762,253.0450,249.5334,250.5964,83713219
2023-02-10,250.5964,252.6173,247.9252,249.9408,58821652
2023-02-11,249.9408,253.0027,245.0162,248.0550,71846705
2023-02-12,248.0550,250.0641,236.0365,237.9639,68260911
2023-02-13,237.9639,242.5381,236.7207,241.2775,57210819
2023-02-14,241.2775,245.1816,235.7966,239.6748,61672446
2023-02-15,239.6748,244.3877,239.4735,244.1826,65315242
2023-02-16,244.1826,245.1070,241.8258,242.7448,56760716
2023-02-17,242.7448,243.3756,241.9304,242.5608,59042548
2023-02-18,242.5608,244.7707,242.5587,244.7686,57518061
2023-02-19,244.7686,246.8368,241.5669,243.6255,56444679
