date,open,high,low,close,volume
2023-01-02,1.08000,1.08021,1.07910,1.07931,1423320
2023-01-03,1.07931,1.08099,1.07898,1.08065,1278465
2023-01-04,1.08065,1.08136,1.08021,1.08091,1098490
2023-01-05,1.08091,1.08133,1.08023,1.08065,1426130
2023-01-06,1.08065,1.08165,1.08047,1.08147,1002654
2023-01-07,1.08147,1.08229,1.08085,1.08168,1186407
2023-01-08,1.08168,1.08250,1.08006,1.08088,1153869
2023-01-09,1.08088,1.08196,1.08022,1.08129,1106059
2023-01-10,1.08129,1.08398,1.08052,1.08320,1286470
2023-01-11,1.08320,1.08436,1.08073,1.08188,1149428
2023-01-12,1.08188,1.08235,1.08048,1.08095,1154186
2023-01-13,1.08095,1.08101,1.08087,1.08093,1182770
2023-01-14,1.08093,1.08106,1.07969,1.07982,970495
2023-01-15,1.07982,1.07991,1.07973,1.07982,1230917
2023-01-16,1.07982,1.08021,1.07968,1.08007,1046804
2023-01-17,1.08007,1.08096,1.07992,1.08081,1288736
2023-01-18,1.08081,1.08142,1.08008,1.08069,1273146
2023-01-19,1.08069,1.08081,1.07912,1.07924,1380432
2023-01-20,1.07924,1.08045,1.07710,1.07831,1291718
2023-01-21,1.07831,1.07838,1.07824,1.07831,1000349
2023-01-22,1.07831,1.07965,1.07819,1.07953,1414127
2023-01-23,1.07953,1.08221,1.07866,1.08134,1017058
2023-01-24,1.08134,1.08242,1.07971,1.08078,1348443
2023-01-25,1.08078,1.08137,1.08044,1.08102,1045839
2023-01-26,1.08102,1.08266,1.08000,1.08164,1388375
2023-01-27,1.08164,1.08209,1.07867,1.07912,1026916
2023-01-28,1.07912,1.08213,1.07876,1.08177,1122027
2023-01-29,1.08177,1.08365,1.08143,1.08331,1290818
2023-01-30,1.08331,1.08349,1.08292,1.08310,1093761
2023-01-31,1.08310,1.08367,1.08285,1.08341,1409884
2023-02-01,1.08341,1.08391,1.08297,1.08347,1013852
2023-02-02,1.08347,1.08646,1.08330,1.08630,1113194
2023-02-03,1.08630,1.08845,1.08576,1.08792,1386035
2023-02-04,1.08792,1.08989,1.08785,1.08982,1371224
2023-02-05,1.08982,1.09003,1.08801,1.08823,1346048
2023-02-06,1.08823,1.08888,1.08771,1.08836,1276995
2023-02-07,1.08836,1.08862,1.08662,1.08688,1120490
2023-02-08,1.08688,1.08814,1.08667,1.08793,1285865
2023-02-09,1.08793,1.08943,1.08752,1.08902,986079
2023-02-10,1.08902,1.08940,1.08879,1.08917,1031100
2023-02-11,1.08917,1.09050,1.08876,1.09009,1137568
2023-02-12,1.09009,1.09041,1.08800,1.08832,1284816
2023-02-13,1.08832,1.08889,1.08732,1.08789,1278173
2023-02-14,1.08789,1.08800,1.08719,1.08730,1222004
2023-02-15,1.08730,1.08819,1.08565,1.08654,1312691
2023-02-16,1.08654,1.08737,1.08584,1.08667,1178352
2023-02-17,1.08667,1.08685,1.08644,1.08662,983814
2023-02-18,1.08662,1.08886,1.08657,1.08881,1170605
2023-02-19,1.08881,1.08926,1.08790,1.08835,1300982
2023-02-20,1.08835,1.09089,1.08801,1.09055,1183276
2023-02-21,1.09055,1.09369,1.09039,1.09354,987958
2023-02-22,1.09354,1.09392,1.09199,1.09237,1091584
2023-02-23,1.09237,1.09262,1.09164,1.09188,1318629
2023-02-24,1.09188,1.09241,1.09170,1.09223,1292212
2023-02-25,1.09223,1.09316,1.09117,1.09210,1291779
2023-02-26,1.09210,1.09464,1.09193,1.09447,1122701
2023-02-27,1.09447,1.09484,1.09407,1.09443,1302541
2023-02-28,1.09443,1.09469,1.09334,1.09359,1074484
2023-03-01,1.09359,1.09528,1.09245,1.09413,1006127
2023-03-02,1.09413,1.09471,1.09371,1.09428,1035866
2023-03-03,1.09428,1.09515,1.09325,1.09412,1279100
2023-03-04,1.09412,1.09576,1.09370,1.09533,978151
2023-03-05,1.09533,1.09672,1.09460,1.09598,1303345
2023-03-06,1.09598,1.09779,1.09559,1.09741,1068856
2023-03-07,1.09741,1.09825,1.09405,1.09489,1119830
2023-03-08,1.09489,1.09812,1.09429,1.09753,1236906
2023-03-09,1.09753,1.09757,1.09685,1.09689,1013033
2023-03-10,1.09689,1.09893,1.09666,1.09870,1302095
2023-03-11,1.09870,1.10058,1.09866,1.10054,1437015
2023-03-12,1.10054,1.10075,1.09982,1.10002,988600
2023-03-13,1.10002,1.10081,1.09890,1.09969,1433379
2023-03-14,1.09969,1.10015,1.09900,1.09946,1307153
2023-03-15,1.09946,1.10000,1.09768,1.09823,1032681
2023-03-16,1.09823,1.10125,1.09705,1.10007,1322454
2023-03-17,1.10007,1.10145,1.09983,1.10121,975561
2023-03-18,1.10121,1.10254,1.09899,1.10031,1185328
2023-03-19,1.10031,1.10096,1.09995,1.10060,1038836
2023-03-20,1.10060,1.10116,1.09730,1.09786,1384270
2023-03-21,1.09786,1.09913,1.09676,1.09803,1051613
2023-03-22,1.09803,1.09870,1.09756,1.09824,1212328
2023-03-23,1.09824,1.10131,1.09795,1.10102,1021667
2023-03-24,1.10102,1.10155,1.09891,1.09945,1269104
2023-03-25,1.09945,1.10002,1.09840,1.09898,1340284
2023-03-26,1.09898,1.10107,1.09863,1.10073,1430237
2023-03-27,1.10073,1.10122,1.10055,1.10104,1282389
2023-03-28,1.10104,1.10326,1.10052,1.10273,1138228
2023-03-29,1.10273,1.10319,1.10257,1.10303,1414317
2023-03-30,1.10303,1.10358,1.10297,1.10352,961242
2023-03-31,1.10352,1.10768,1.10215,1.10631,1360904
2023-04-01,1.10631,1.10731,1.10609,1.10710,1290084
2023-04-02,1.10710,1.10878,1.10607,1.10776,1089432
2023-04-03,1.10776,1.11012,1.10756,1.10992,1288479
2023-04-04,1.10992,1.11058,1.10903,1.10969,1323775
2023-04-05,1.10969,1.10977,1.10813,1.10821,1401462
2023-04-06,1.10821,1.10884,1.10533,1.10596,982442
2023-04-07,1.10596,1.10616,1.10375,1.10395,965138
2023-04-08,1.10395,1.10447,1.10314,1.10365,1260317
2023-04-09,1.10365,1.10390,1.10294,1.10319,1413010
