date,open,high,low,close,volume
2023-01-02,1.24000,1.24208,1.23987,1.24195,1631308
2023-01-03,1.24195,1.24255,1.24128,1.24188,1246822
2023-01-04,1.24188,1.24215,1.24096,1.24123,1429335
2023-01-05,1.24123,1.24512,1.24010,1.24399,1271213
2023-01-06,1.24399,1.24542,1.24368,1.24511,1696854
2023-01-07,1.24511,1.24649,1.24501,1.24639,1264342
2023-01-08,1.24639,1.24868,1.24563,1.24792,1310059
2023-01-09,1.24792,1.24868,1.24481,1.24558,1633797
2023-01-10,1.24558,1.24635,1.24221,1.24299,1543504
2023-01-11,1.24299,1.24423,1.24241,1.24365,1421474
2023-01-12,1.24365,1.24467,1.23901,1.24002,1571003
2023-01-13,1.24002,1.24012,1.23866,1.23877,1368800
2023-01-14,1.23877,1.24238,1.23628,1.23990,1731951
2023-01-15,1.23990,1.24228,1.23925,1.24163,1625030
2023-01-16,1.24163,1.24258,1.24015,1.24110,1287324
2023-01-17,1.24110,1.24142,1.23967,1.23999,1259986
2023-01-18,1.23999,1.24091,1.23980,1.24072,1687758
2023-01-19,1.24072,1.24108,1.24018,1.24054,1491091
2023-01-20,1.24054,1.24577,1.24047,1.24570,1537980
2023-01-21,1.24570,1.24748,1.24434,1.24612,1375063
2023-01-22,1.24612,1.24649,1.24357,1.24394,1436433
2023-01-23,1.24394,1.24564,1.24308,1.24478,1649693
2023-01-24,1.24478,1.24694,1.24441,1.24657,1226661
2023-01-25,1.24657,1.24798,1.24307,1.24448,1526076
2023-01-26,1.24448,1.24496,1.24181,1.24230,1337430
2023-01-27,1.24230,1.24305,1.23987,1.24062,1587769
2023-01-28,1.24062,1.24130,1.23855,1.23923,1398473
2023-01-29,1.23923,1.23966,1.23639,1.23682,1396660
2023-01-30,1.23682,1.23837,1.23399,1.23553,1521862
2023-01-31,1.23553,1.23715,1.23544,1.23706,1751737
2023-02-01,1.23706,1.23854,1.23631,1.23779,1690111
2023-02-02,1.23779,1.24043,1.23755,1.24019,1722789
2023-02-03,1.24019,1.24316,1.23973,1.24270,1407335
2023-02-04,1.24270,1.24377,1.24047,1.24154,1240033
2023-02-05,1.24154,1.24544,1.24122,1.24512,1576140
2023-02-06,1.24512,1.24692,1.24433,1.24613,1373445
2023-02-07,1.24613,1.24768,1.24561,1.24716,1634654
2023-02-08,1.24716,1.24792,1.24638,1.24715,1351260
2023-02-09,1.24715,1.24727,1.24533,1.24545,1556388
