date,open,high,low,close,volume
2023-01-02,132.000,132.094,131.956,132.049,1294708
2023-01-03,132.049,132.052,131.903,131.906,1151552
2023-01-04,131.906,131.996,131.864,131.955,1065523
2023-01-05,131.955,132.092,131.847,131.985,1063141
2023-01-06,131.985,132.024,131.861,131.900,977146
2023-01-07,131.900,132.053,131.684,131.837,1034105
2023-01-08,131.837,131.941,131.778,131.881,1214580
2023-01-09,131.881,131.991,131.788,131.897,1059275
2023-01-10,131.897,132.158,131.808,132.069,927428
2023-01-11,132.069,132.250,132.022,132.203,974723
2023-01-12,132.203,132.411,132.025,132.232,1293888
2023-01-13,132.232,132.267,132.231,132.266,1155864
2023-01-14,132.266,132.606,132.217,132.557,1184907
2023-01-15,132.557,132.640,132.465,132.548,1095499
2023-01-16,132.548,132.622,132.521,132.594,1180235
2023-01-17,132.594,132.636,132.539,132.581,1218984
2023-01-18,132.581,132.938,132.414,132.771,1216155
2023-01-19,132.771,132.797,132.561,132.587,1308517
2023-01-20,132.587,132.624,132.488,132.524,1183389
2023-01-21,132.524,132.621,132.500,132.596,1216232
2023-01-22,132.596,132.668,132.357,132.429,1089984
2023-01-23,132.429,132.642,132.399,132.613,1305313
2023-01-24,132.613,132.699,132.604,132.690,1292765
2023-01-25,132.690,132.738,132.650,132.697,1134230
2023-01-26,132.697,132.720,132.671,132.694,905295
2023-01-27,132.694,132.806,132.390,132.503,911958
2023-01-28,132.503,132.579,132.175,132.251,1039747
2023-01-29,132.251,132.347,132.120,132.215,1215024
2023-01-30,132.215,132.239,131.786,131.810,1055623
2023-01-31,131.810,131.866,131.774,131.830,993086
2023-02-01,131.830,132.204,131.713,132.087,938578
2023-02-02,132.087,132.329,131.982,132.224,1086604
2023-02-03,132.224,132.335,132.208,132.319,1291728
2023-02-04,132.319,132.385,132.039,132.104,934900
2023-02-05,132.104,132.258,132.084,132.238,1034224
2023-02-06,132.238,132.399,132.138,132.299,1134013
2023-02-07,132.299,132.322,132.160,132.183,1060813
2023-02-08,132.183,132.275,132.073,132.165,1050938
2023-02-09,132.165,132.316,131.798,131.949,1022257
2023-02-10,131.949,131.967,131.879,131.897,1244958
2023-02-11,131.897,131.917,131.690,131.709,1126973
2023-02-12,131.709,132.033,131.611,131.934,885010
2023-02-13,131.934,132.074,131.856,131.996,1286200
2023-02-14,131.996,132.144,131.752,131.900,1029608
2023-02-15,131.900,131.931,131.685,131.716,983078
2023-02-16,131.716,131.866,131.680,131.829,918335
2023-02-17,131.829,131.924,131.827,131.922,1258686
2023-02-18,131.922,132.001,131.663,131.742,1132767
2023-02-19,131.742,131.759,131.426,131.443,1031400
2023-02-20,131.443,131.503,131.378,131.437,912593
2023-02-21,131.437,131.561,131.431,131.554,1158938
2023-02-22,131.554,131.689,131.477,131.612,1007270
2023-02-23,131.612,131.669,131.558,131.616,1078360
2023-02-24,131.616,131.731,131.499,131.615,1274531
2023-02-25,131.615,131.787,131.607,131.779,964155
2023-02-26,131.779,131.902,131.745,131.867,1234020
2023-02-27,131.867,131.880,131.610,131.623,1230446
2023-02-28,131.623,131.937,131.507,131.821,1057859
2023-03-01,131.821,131.965,131.531,131.675,1231220
2023-03-02,131.675,131.723,131.375,131.423,1224011
2023-03-03,131.423,131.451,131.252,131.280,1072438
2023-03-04,131.280,131.399,131.260,131.379,1300352
2023-03-05,131.379,131.496,131.337,131.454,1204747
2023-03-06,131.454,131.513,131.365,131.424,1011633
2023-03-07,131.424,131.473,131.155,131.204,1049218
2023-03-08,131.204,131.218,131.042,131.056,1245193
2023-03-09,131.056,131.284,130.998,131.226,991178
2023-03-10,131.226,131.260,131.061,131.095,1155008
2023-03-11,131.095,131.186,130.929,131.019,1110712
2023-03-12,131.019,131.069,130.609,130.658,1062876
2023-03-13,130.658,130.669,130.650,130.660,884197
2023-03-14,130.660,130.801,130.407,130.548,1172394
2023-03-15,130.548,130.577,130.530,130.560,1077763
2023-03-16,130.560,130.625,130.548,130.614,1158385
2023-03-17,130.614,130.778,130.546,130.710,1252271
2023-03-18,130.710,130.715,130.566,130.571,1103892
2023-03-19,130.571,130.675,130.549,130.653,1193260
2023-03-20,130.653,130.773,130.554,130.675,895713
2023-03-21,130.675,130.785,130.660,130.771,1193220
2023-03-22,130.771,130.909,130.655,130.794,1015549
2023-03-23,130.794,131.101,130.671,130.977,1209289
2023-03-24,130.977,131.019,130.952,130.994,1080953
2023-03-25,130.994,131.010,130.978,130.993,1200118
2023-03-26,130.993,131.252,130.870,131.129,1280390
2023-03-27,131.129,131.168,130.939,130.978,1316239
2023-03-28,130.978,131.060,130.717,130.800,1006617
2023-03-29,130.800,131.025,130.764,130.988,1318799
2023-03-30,130.988,131.190,130.908,131.110,1104396
2023-03-31,131.110,131.203,131.068,131.161,913447
2023-04-01,131.161,131.193,131.055,131.087,887677
2023-04-02,131.087,131.145,130.852,130.911,917183
2023-04-03,130.911,131.077,130.760,130.926,1186410
2023-04-04,130.926,131.007,130.872,130.953,900970
