date,open,high,low,close,volume
2023-01-02,1.08000,1.08033,1.07939,1.07972,1272448
2023-01-03,1.07972,1.08157,1.07937,1.08122,1135530
2023-01-04,1.08122,1.08299,1.08094,1.08272,977997
2023-01-05,1.08272,1.08282,1.08222,1.08232,1003542
2023-01-06,1.08232,1.08287,1.07965,1.08021,1019424
2023-01-07,1.08021,1.08146,1.07931,1.08057,1414900
2023-01-08,1.08057,1.08087,1.07916,1.07947,1428602
2023-01-09,1.07947,1.08234,1.07910,1.08197,1099012
2023-01-10,1.08197,1.08268,1.08172,1.08243,1108071
2023-01-11,1.08243,1.08319,1.08205,1.08281,1239168
2023-01-12,1.08281,1.08329,1.08158,1.08206,1222917
2023-01-13,1.08206,1.08262,1.08197,1.08254,1058860
2023-01-14,1.08254,1.08316,1.08139,1.08201,1110790
2023-01-15,1.08201,1.08237,1.08047,1.08084,1103888
2023-01-16,1.08084,1.08241,1.07987,1.08144,1077166
2023-01-17,1.08144,1.08180,1.07973,1.08008,1380065
2023-01-18,1.08008,1.08061,1.07947,1.08000,1430483
2023-01-19,1.08000,1.08151,1.07955,1.08105,1323427
2023-01-20,1.08105,1.08259,1.08044,1.08197,978819
2023-01-21,1.08197,1.08293,1.07998,1.08094,1235052
2023-01-22,1.08094,1.08219,1.08054,1.08179,1293741
2023-01-23,1.08179,1.08227,1.07995,1.08043,1178978
2023-01-24,1.08043,1.08347,1.07911,1.08215,1187567
2023-01-25,1.08215,1.08235,1.08178,1.08197,1296716
2023-01-26,1.08197,1.08361,1.07793,1.07956,1354523
2023-01-27,1.07956,1.08018,1.07871,1.07934,1280953
2023-01-28,1.07934,1.08092,1.07924,1.08082,1040663
2023-01-29,1.08082,1.08136,1.08067,1.08121,1328751
2023-01-30,1.08121,1.08229,1.08085,1.08194,1147655
2023-01-31,1.08194,1.08255,1.08174,1.08236,1175609
2023-02-01,1.08236,1.08277,1.07944,1.07985,1353254
2023-02-02,1.07985,1.08098,1.07945,1.08059,1159342
2023-02-03,1.08059,1.08163,1.07790,1.07894,1419710
2023-02-04,1.07894,1.07979,1.07861,1.07947,1071339
2023-02-05,1.07947,1.08042,1.07872,1.07968,1242779
2023-02-06,1.07968,1.07978,1.07962,1.07972,1161094
2023-02-07,1.07972,1.08033,1.07802,1.07863,1417487
2023-02-08,1.07863,1.07936,1.07739,1.07812,1256444
2023-02-09,1.07812,1.07831,1.07779,1.07798,1391775
2023-02-10,1.07798,1.07982,1.07669,1.07853,1342979
2023-02-11,1.07853,1.07894,1.07715,1.07756,1009697
2023-02-12,1.07756,1.07774,1.07714,1.07731,992326
2023-02-13,1.07731,1.07793,1.07694,1.07756,1123225
2023-02-14,1.07756,1.07764,1.07755,1.07764,1032607
2023-02-15,1.07764,1.07905,1.07727,1.07868,972240
2023-02-16,1.07868,1.08063,1.07805,1.07999,1031304
2023-02-17,1.07999,1.08063,1.07939,1.08003,1134798
2023-02-18,1.08003,1.08277,1.07915,1.08189,1436689
2023-02-19,1.08189,1.08205,1.08033,1.08048,1001224
2023-02-20,1.08048,1.08185,1.08013,1.08149,1087083
2023-02-21,1.08149,1.08225,1.08115,1.08191,971085
2023-02-22,1.08191,1.08372,1.08167,1.08348,1030369
2023-02-23,1.08348,1.08352,1.08320,1.08324,1213492
2023-02-24,1.08324,1.08604,1.08307,1.08587,1294174
2023-02-25,1.08587,1.08649,1.08521,1.08583,1040180
2023-02-26,1.08583,1.08690,1.08504,1.08611,1333946
2023-02-27,1.08611,1.08651,1.08531,1.08572,1349525
2023-02-28,1.08572,1.08843,1.08560,1.08831,1346917
2023-03-01,1.08831,1.09023,1.08734,1.08926,1068834
2023-03-02,1.08926,1.08932,1.08803,1.08809,973910
2023-03-03,1.08809,1.08928,1.08800,1.08919,1084403
2023-03-04,1.08919,1.09072,1.08656,1.08809,1174669
2023-03-05,1.08809,1.09248,1.08734,1.09173,1418400
2023-03-06,1.09173,1.09207,1.09082,1.09117,1068885
2023-03-07,1.09117,1.09193,1.09075,1.09152,1259551
2023-03-08,1.09152,1.09434,1.09078,1.09360,1190147
2023-03-09,1.09360,1.09457,1.09135,1.09231,1000693
2023-03-10,1.09231,1.09353,1.08962,1.09083,1335505
2023-03-11,1.09083,1.09164,1.09009,1.09089,1045690
