symbol,week_return_pct,volatility_pct,avg_daily_range_pct,price_range_pct,avg_volume,volume_surge_ratio,trend_strength_pct,best_day_return_pct,worst_day_return_pct,avg_intraday_move_pct,max_intraday_move_pct,first_close,last_close,days_analyzed,opportunity_score,call_score,put_score
AAPL,-4.45,1.8,2.05,5.87,42644240,1.45,-3.48,0.62,-3.45,2.0,4.86,256.69,245.27,5,9.625,3.8499999999999996,17.970000000000002
MSFT,-3.33,1.0,1.76,4.05,18355240,1.31,-2.14,0.17,-2.19,1.76,2.68,528.57,510.96,5,6.960000000000001,2.76,12.63
GOOGL,-5.53,0.72,2.28,6.18,26869760,1.23,-2.96,-0.46,-2.05,2.27,3.42,250.43,236.57,5,8.24,3.0,18.5
AMZN,-2.05,3.05,2.95,5.55,47990040,1.5,-2.71,1.55,-4.99,2.92,5.42,220.9,216.37,5,12.3,6.0,14.165
NVDA,-1.28,3.26,3.21,7.31,175493320,1.52,-2.1,2.2,-4.89,3.14,7.01,185.54,183.16,5,12.735,6.47,12.18
META,-1.45,2.56,2.87,6.25,14822540,1.46,-1.64,2.18,-3.85,2.86,4.21,715.66,705.3,5,10.88,5.43,10.79
TSLA,-8.77,3.04,4.41,9.29,87773020,1.26,-4.9,1.29,-5.06,4.33,7.26,453.25,413.49,5,17.71,7.45,32.34
SPY,-2.77,1.41,1.15,3.14,82481940,1.92,-2.18,0.6,-2.7,1.13,3.14,671.61,653.02,5,6.89,2.5599999999999996,11.370000000000001
QQQ,-3.0,1.95,1.5,3.97,58614360,1.65,-2.53,1.15,-3.47,1.47,3.95,607.71,589.5,5,8.475000000000001,3.45,13.245
IWM,-3.65,1.66,1.87,4.42,37133520,1.89,-2.59,1.05,-2.99,1.83,3.8,246.81,237.79,5,8.895,3.5300000000000002,14.715
XLF,-2.87,1.01,1.53,3.56,39508000,1.86,-2.12,0.13,-2.18,1.51,2.84,53.7,52.16,5,6.68,2.54,11.459999999999999
XLK,-3.2,2.42,1.91,4.54,10412100,2.14,-2.83,1.75,-4.07,1.87,4.49,287.6,278.39,5,10.375,4.33,14.975
XLV,-1.39,0.75,1.05,2.3,11057420,1.21,-1.2,0.19,-1.44,1.04,1.94,144.12,142.11,5,4.375,1.8,6.38
XLE,-4.62,1.31,1.9,5.29,13511060,1.66,-3.33,0.16,-2.89,1.88,2.71,89.35,85.22,5,8.61,3.21,17.445
GLD,1.3,1.52,1.36,3.35,23952820,1.41,0.44,1.65,-1.85,1.35,2.78,364.38,369.12,5,6.4350000000000005,6.140000000000001,2.88
TLT,2.2,0.76,0.6,2.33,31802480,1.81,1.39,1.61,-0.08,0.6,0.91,88.67,90.62,5,4.425000000000001,7.845,1.3599999999999999
EEM,-4.66,1.86,1.6,5.27,28826860,2.34,-3.42,0.8,-3.69,1.56,4.11,54.48,51.94,5,9.620000000000001,3.46,17.91
XOP,-7.6,2.51,2.65,8.6,4167540,1.93,-5.63,0.14,-5.37,2.59,4.54,134.15,123.96,5,13.759999999999998,5.16,28.805
JPM,-2.68,0.89,2.06,3.54,7561260,1.14,-1.5,0.49,-1.52,2.05,3.16,309.18,300.89,5,6.78,2.95,10.56
BAC,-3.45,1.01,2.07,5.5,25250260,1.22,-2.29,-0.1,-2.29,2.04,3.18,50.39,48.65,5,7.460000000000001,3.08,13.415000000000001
WFC,-3.8,1.61,2.18,4.76,11782980,1.36,-2.75,0.56,-2.84,2.15,3.54,80.69,77.62,5,9.07,3.79,15.514999999999999
GS,-4.07,1.09,2.72,5.19,1829720,1.34,-2.19,0.44,-2.0,2.69,3.53,796.78,764.36,5,8.965,3.8100000000000005,15.235000000000001
JNJ,1.36,0.38,1.62,4.87,7456840,1.27,0.53,0.73,-0.19,1.64,3.42,188.16,190.72,5,4.505,5.515000000000001,2.0
